DATE  OF OCCURRENCE, PRIMARY DESCRIPTION,LATITUDE,LONGITUDE, LOCATION DESCRIPTION,BLOCK
9/25/17 3:01,ARSON,41.92279874,-87.76959723,VEHICLE NON-COMMERCIAL,023XX N MANGO AVE
7/14/17 2:02,ARSON,41.78486344,-87.79060347,VEHICLE NON-COMMERCIAL,067XX W 59TH ST
10/21/17 8:18,ARSON,41.76645596,-87.64808958,RESIDENCE-GARAGE,070XX S SANGAMON ST
5/7/17 23:17,ARSON,41.89542265,-87.75806249,VEHICLE NON-COMMERCIAL,008XX N LOCKWOOD AVE
7/17/17 17:15,ARSON,41.89656522,-87.63636822,DEPARTMENT STORE,003XX W CHICAGO AVE
7/21/17 3:48,ARSON,41.96683392,-87.74526407,VEHICLE NON-COMMERCIAL,047XX N KILPATRICK AVE
8/3/17 21:00,ARSON,41.75720149,-87.65027712,RESIDENCE-GARAGE,075XX S CARPENTER ST
5/22/17 3:55,ARSON,41.87594236,-87.74367463,RESIDENCE,047XX W GLADYS AVE
6/22/17 3:00,ARSON,41.77203917,-87.63871139,RESIDENCE,067XX S PARNELL AVE
6/15/17 21:45,ARSON,41.67158043,-87.62607402,VEHICLE NON-COMMERCIAL,122XX S LA SALLE ST
2/2/18 5:19,ARSON,41.78319021,-87.65867643,RESIDENCE,013XX W 61ST ST
10/28/17 9:40,ARSON,41.91438094,-87.75282574,VEHICLE NON-COMMERCIAL,018XX N LECLAIRE AVE
9/3/17 22:00,ARSON,41.68157238,-87.6193862,STREET,001XX E 117TH ST
7/22/17 10:49,ARSON,41.75239906,-87.59185986,VEHICLE NON-COMMERCIAL,078XX S KENWOOD AVE
5/18/17 22:17,ARSON,41.757631,-87.58570825,HOSPITAL BUILDING/GROUNDS,075XX S STONY ISLAND AVE
8/13/17 22:00,ARSON,41.88712681,-87.77305094,VEHICLE NON-COMMERCIAL,059XX W CORCORAN PL
11/23/17 12:09,ARSON,41.97446198,-87.7282038,BRIDGE,051XX N PULASKI RD
11/28/17 16:00,ARSON,41.67244368,-87.60479115,VEHICLE NON-COMMERCIAL,122XX S COTTAGE GROVE AVE
5/31/17 21:00,ARSON,41.74921183,-87.55194127,RESIDENCE,029XX E 80TH PL
9/21/17 6:45,ARSON,41.89170587,-87.66228459,RESTAURANT,005XX N NOBLE ST
7/14/17 4:42,ARSON,41.78335383,-87.59470789,APARTMENT,061XX S KIMBARK AVE
5/28/17 18:22,ARSON,41.94330764,-87.74203248,VEHICLE NON-COMMERCIAL,034XX N KENTON AVE
10/12/17 2:45,ARSON,41.92364622,-87.78941054,RESTAURANT,065XX W FULLERTON AVE
11/23/17 16:10,ARSON,41.72937672,-87.55124018,ABANDONED BUILDING,091XX S COMMERCIAL AVE
8/14/17 1:38,ARSON,41.80659723,-87.68555129,VEHICLE NON-COMMERCIAL,024XX W 48TH ST
6/29/17 4:42,ARSON,41.79506927,-87.6646138,VEHICLE-COMMERCIAL,054XX S ASHLAND AVE
4/4/17 11:30,ARSON,41.91915684,-87.71260729,RESIDENCE,034XX W DICKENS AVE
8/7/17 3:25,ARSON,41.83715143,-87.64259844,RESIDENCE,031XX S LOWE AVE
9/13/17 6:55,ARSON,41.95175928,-87.73451373,VEHICLE NON-COMMERCIAL,042XX W BYRON ST
4/3/17 2:02,ARSON,41.73695102,-87.66187922,RESIDENCE,086XX S JUSTINE ST
7/31/17 5:00,ARSON,41.76587699,-87.6844985,RESIDENCE PORCH/HALLWAY,070XX S ARTESIAN AVE
1/9/18 10:20,ARSON,41.90852596,-87.75469729,VEHICLE NON-COMMERCIAL,015XX N LEAMINGTON AVE
4/13/17 18:35,ARSON,42.01653409,-87.70287356,RESIDENCE PORCH/HALLWAY,029XX W FARGO AVE
11/24/17 12:33,ARSON,41.97570015,-87.7128823,COMMERCIAL / BUSINESS OFFICE,033XX W FOSTER AVE
7/23/17 14:17,ARSON,41.76234893,-87.59426708,STREET,012XX E 73RD ST
8/20/17 14:00,ARSON,41.77024403,-87.67500035,RESIDENCE,020XX W 68TH ST
